#EPIC,    ra,        dec,      Kp,   list
60018970, 358.19383, 1.33167, 14.2, cool_star
60018971, 0.21148, 0.05, 14.2, cool_star
60018979, 5.12693, -5.19527, 14.2, cool_star
60018984, 4.60778, -1.05872, 14.2, cool_star
60018985, 2.83888, -4.85974, 14.2, cool_star
60018992, 3.77509, -1.02355, 14.2, cool_star
60018994, 0.72452, -3.96339, 14.2, cool_star
60018995, 356.69539, -4.19027, 14.2, cool_star
60018996, 354.80915, -1.02766, 14.2, cool_star
60018997, 357.28763, -3.97564, 14.2, cool_star
60019000, 358.4782, -3.41843, 14.2, cool_star
60019001, 0.90457, -1.66485, 14.2, cool_star
60019002, 358.17383, -3.1712, 14.2, cool_star
60019004, 0.34426, -1.07568, 14.2, cool_star
60019005, 359.18005, -1.9255, 14.2, cool_star
60019007, 358.29142, -1.25571, 14.2, cool_star
60019013, 355.46929, -9.44411, 14.2, cool_star
60019025, 4.42703, -6.09762, 14.2, cool_star
60019029, 2.25651, -6.8629, 14.2, cool_star
60019030, 352.07859, -3.64799, 14.2, cool_star
60019031, 356.23935, -7.28551, 14.2, cool_star
60019032, 0.86109, -6.92475, 14.2, cool_star
60019036, 358.91807, -6.48956, 14.2, cool_star
60019066, 351.92309, 0.28546, 14.3, cool_star
60019070, 358.20737, 4.05463, 14.3, cool_star
60019071, 355.59277, 2.95952, 14.3, cool_star
60019072, 358.19147, 3.90166, 14.3, cool_star
60019074, 356.24267, 2.57283, 14.3, cool_star
60019075, 355.61423, 1.91986, 14.3, cool_star
60019080, 358.18599, 2.03655, 14.3, cool_star
60019081, 357.42952, 1.30201, 14.3, cool_star
60019082, 358.19916, 1.25479, 14.3, cool_star
60019093, 5.43344, -4.75799, 14.3, cool_star
60019094, 4.42784, -5.73595, 14.3, cool_star
60019095, 4.77244, -5.13062, 14.3, cool_star
60019101, 352.07313, -0.0602, 14.3, cool_star
60019102, 3.40155, -4.68374, 14.3, cool_star
60019104, 1.65443, -5.66274, 14.3, cool_star
60019110, 356.32608, -4.68632, 14.3, cool_star
60019112, 0.22376, -4.8182, 14.3, cool_star
60019114, 0.72832, -4.36325, 14.3, cool_star
60019115, 354.59755, -1.05501, 14.3, cool_star
60019117, 358.33732, -4.64892, 14.3, cool_star
60019118, 356.84203, -4.23038, 14.3, cool_star
60019121, 355.86735, -1.53772, 14.3, cool_star
60019122, 358.486, -3.28809, 14.3, cool_star
60019123, 358.48615, -2.78422, 14.3, cool_star
60019124, 0.40162, -1.15326, 14.3, cool_star
